reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e58bfc99-2e53-4484-a722-7bd02f3c635a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,2.25.24.78,2025-09-21 13:28:42,,,2.25.24.78
de49f6ff-69dc-4c7a-92b2-c30fabecb05a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,pengalaman di wa ga dibalas,3,0,2.25.25.73,2025-09-21 13:28:12,,,2.25.25.73
51cb3416-7da7-4554-81dc-4578aec2541e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,supaya lebih mudah,5,0,2.25.25.73,2025-09-21 13:27:27,,,2.25.25.73
b523a0ba-e07f-4038-9b14-b6d6a9e37df6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Masalah saya adalah sulit untuk mendownload foto/video.. Saya sangat sulit untuk melihat story WhatsApp.. Loading yang sangat lama... (bug) Sedangkan koneksi jaringan saya sangat bagus, bahkan saat saya menggunakan WiFi pun sulit untuk melihat story WhatsApp. Saya harap pihak WhatsApp bisa menyelesaikan masalah saya ini dengan segera. Karena ini sangat mempersulit pekerjaan saya. Terimakasih",5,0,2.25.25.73,2025-09-21 13:26:49,,,2.25.25.73
bd71cae9-39eb-406e-ba4b-7ef09a24d0f5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,nmr brunai,5,0,2.25.25.73,2025-09-21 13:26:24,,,2.25.25.73
0febc2da-6867-4d35-aa99-84eca93506e0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kenapa saya tidak bisa dowload what sap,5,0,2.22.8.79,2025-09-21 13:25:17,,,2.22.8.79
dd237d7e-ef25-4acb-8751-9a8ee71e5438,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sangat jelek , kadang ada erorya",5,0,2.25.25.73,2025-09-21 13:24:32,,,2.25.25.73
a0097054-4afd-446c-b5bc-1b32c5d6794e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,2.25.25.73,2025-09-21 13:21:10,,,2.25.25.73
f3484cb5-4ef2-4868-9bd2-038e218408ce,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,wee apuss fiturr sklii liatt napaa gaa asikkk ahh,1,0,2.25.25.73,2025-09-21 13:20:14,,,2.25.25.73
92976213-7db8-4e15-92b5-a80f79bcca0c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baguss,5,0,,2025-09-21 13:19:41,,,
9bf4ad86-a15b-44f3-9c95-c75d54751173,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Adanya whatsApp sangat terbantu sekali,2,0,2.25.18.80,2025-09-21 13:19:08,,,2.25.18.80
